新聞來源,發佈時間,網址,標題,內容,發佈日期
台大,2014/3/24 23:40,http://www.facebook.com/807516639277557,NA,"【濟南舞台】

來自嘉義的老師林瑞霞說：「反抗不義是人類的天職」、「我們是繳稅金來讓警察來打我們的嗎？天下哪有這麼好康的事情！」全場歡呼。",2014/3/24
台大,2014/3/24 23:23,http://www.facebook.com/807509435944944,NA,"【濟南舞台】

場邊民眾多已起床，主持人邀請現場民眾上台分享早操動作。一位伯伯褪去上衣，示範在床上就能暖起身子的體操。除了現場民眾，一旁駐守的員警也隨著指令一起動動身體。",2014/3/24
台大,2014/3/24 23:15,http://www.facebook.com/807506439278577,NA,"【場邊花絮】

停在青島東路上的TVBS、中天等電視新聞轉播車，昨天晚上開始有人在便利貼寫上訊息，如：「你媽知道你在這裡做假新聞嗎？」、「謝謝你在這裡做假新聞給我媽看」等字句，表達對主流媒體報導的質疑與憤怒。",2014/3/24
台大,2014/3/24 22:58,http://www.facebook.com/,NA,"【場內即時】



早上六點五十分，中央研究院法律學研究所籌備處副研究員黃國昌於立法院內接受媒體採訪時表示，兩岸協議監督條例是這次反服貿行動的基本核心訴求，希望透過將訴求法制化，達到民主與透明審議。



黃國昌進一步指出，廣告刊登的募資行動已達一定金額，反服貿廣告將會刊載於《紐約時報》，但由於紐時審稿期間較長，預計最快三月底能夠在紐時上刊登。



黃國昌也回應昨天凌晨政府對佔領行政院民眾的鎮暴行為，認為繼續留下來的學生向心力變強，目標也一樣明確，自己也會和學生一起堅持奮鬥下去。",2014/3/24
台大,2014/3/24 22:40,http://www.facebook.com/807492709279950,NA,"【場邊花絮】

清晨四點，《蘋果日報》已在北市便利商店上架。立院現場隨處可見今日早報。



由民間集資的公民反黑箱服貿廣告《他們，為什麼在這裡？》登於今日蘋果Ｓ１下半版，另也將刊登於《自由時報》頭版。",2014/3/24
台大,2014/3/24 22:25,http://www.facebook.com/807488462613708,NA,"【場內花絮】



主辦單位表示，由於目前進駐議場的人數非常多，物資有限。過去可任意取用的瓶裝水，主辦單位也要求議場內民眾能盡量保管自己的水瓶，節約物資；更在物資區擺放明顯告示，提醒場內民眾能重複使用寶特瓶。",2014/3/24
台大,2014/3/24 22:15,http://www.facebook.com/807484839280737,NA,"【場內花絮】

記者發現議場內的物資區多了一整區放置衣物的地方，滿滿的衣物堆疊，物資組更依照尺寸依序擺放，供場內民眾更換。物資組表示，這些衣物都由民眾捐贈，這麼多衣物與前天發生的行政院鎮暴有關。



因為政府出動鎮暴水車，許多民眾被水柱攻擊，沒有衣物可更換，場內便緊急運送庫存衣物支援，幾乎清空所有庫存。



物資組工作人員說，目前可見的衣物都是昨天和今天由熱心民眾捐贈，迅速累積到一定數量。",2014/3/24
台大,2014/3/24 21:56,http://www.facebook.com/807477872614767,NA,"【場邊花絮】

昨晚不斷接獲線報指出，可能有滋事分子將前來鬧場；漫漫長夜，台大新聞E論壇記者在場邊持續守候，幸無憾事發生。



反黑箱服貿立院抗爭，邁入第七個天明。",2014/3/24
台大,2014/3/24 21:15,http://www.facebook.com/,NA,NA,2014/3/24
台大,2014/3/24 20:39,http://www.facebook.com/,NA,"給太陽花運動的學生們

1) 為了確保學生運動捍衛民主的成果，及反對服貿條款不讓台灣香港化。我們建議學生們開始推動罷免讚成服貿條款的立委們。

2) 除了遍地開花向國民黨黨部靜坐示威，我們建議開始啟動聯署罷免，使罷免立委案能排入今年年底的投票選舉。

3) 學生們佔領立法院，已經成功的讓社會正視民主被殘害和服貿條款對台灣經濟的影響。當學生們走出立法院的時候就是讓那些悖逆民意、只顧私利、違法亂政的立委們永遠回不到立法院的開始！",2014/3/24
台大,2014/3/24 19:27,http://www.facebook.com/,NA,看著電腦很難過...我沒走上街頭過，但是我決定明天我要走出去,2014/3/24
台大,2014/3/24 19:23,http://www.facebook.com/,NA,NA,2014/3/24
